channelGrouping;date;device.browser;device.browserVersion;device.browserSize;device.operatingSystem;device.operatingSystemVersion;device.isMobile;device.mobileDeviceBranding;device.mobileDeviceModel;device.mobileInputSelector;device.mobileDeviceInfo;device.mobileDeviceMarketingName;device.flashVersion;device.language;device.screenColors;device.screenResolution;device.deviceCategory;fullVisitorId;geoNetwork.continent;geoNetwork.subContinent;geoNetwork.country;geoNetwork.region;geoNetwork.metro;geoNetwork.city;geoNetwork.cityId;geoNetwork.networkDomain;geoNetwork.latitude;geoNetwork.longitude;geoNetwork.networkLocation;sessionId;socialEngagementType;totals.visits;totals.hits;totals.pageviews;totals.transactionRevenue;totals.newVisits;trafficSource.campaign;trafficSource.source;trafficSource.medium;trafficSource.keyword;trafficSource.adwordsClickInfo.criteriaParameters;trafficSource.isTrueDirect;visitId;visitNumber;visitStartTime
Referral;20171212;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;2797072451647140000;Americas;Northern America;United States;New York;New York NY;New York;not available in demo dataset;verizon.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;2797072451647139647_1513137920;Not Socially Engaged;1;97;41;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1513137920;4;1513137920
Organic Search;20170926;Firefox;not available in demo dataset;not available in demo dataset;Linux;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;8188727638533100000;Americas;South America;Brazil;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;virtua.com.br;not available in demo dataset;not available in demo dataset;not available in demo dataset;8188727638533104114_1506470174;Not Socially Engaged;1;97;40;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1506470174;1;1506470174
Direct;20171001;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;396552270289526000;Americas;South America;Venezuela;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;0396552270289525669_1506891151;Not Socially Engaged;1;96;85;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1506891151;1;1506891151
Direct;20180124;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;4254462470859420000;Americas;Northern America;United States;Nevada;(not set);(not set);not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;4254462470859421263_1516833488;Not Socially Engaged;1;96;76;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1516833488;2;1516833488
Direct;20170914;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;230303865113024000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;direcpc.com;not available in demo dataset;not available in demo dataset;not available in demo dataset;0230303865113024338_1505382205;Not Socially Engaged;1;96;72;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1505382205;1;1505382205
Display;20171017;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;4571332986827700000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;4571332986827698537_1508271443;Not Socially Engaged;1;96;71;;1;(not set);google;cpm;(not provided);not available in demo dataset;FALSO;1508271443;1;1508271443
Affiliates;20171202;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6318986911915130000;Europe;Northern Europe;Finland;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;elisa-laajakaista.fi;not available in demo dataset;not available in demo dataset;not available in demo dataset;6318986911915133409_1512248542;Not Socially Engaged;1;96;70;;0;Data Share Promo;Partners;affiliate;(not provided);not available in demo dataset;VERDADERO;1512248542;2;1512248542
Organic Search;20171004;Safari;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5767690520460880000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Francisco;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5767690520460882634_1507161051;Not Socially Engaged;1;96;70;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1507161051;1;1507161051
Organic Search;20171002;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5481091058914080000;Europe;Southern Europe;Italy;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;it;not available in demo dataset;not available in demo dataset;not available in demo dataset;5481091058914075436_1506943011;Not Socially Engaged;1;96;70;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1506943011;1;1506943011
Organic Search;20171105;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;7590476423360520000;Americas;Northern America;United States;California;Los Angeles CA;Los Angeles;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;7590476423360518615_1509943586;Not Socially Engaged;1;96;68;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1509943586;2;1509943586
Referral;20171006;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5868953614970350000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Francisco;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5868953614970352020_1507326744;Not Socially Engaged;1;96;68;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1507326744;11;1507326744
Display;20171128;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;1497553441330240000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Jose;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;1497553441330240961_1511900789;Not Socially Engaged;1;96;68;;0;(not set);google;cpm;(not provided);not available in demo dataset;VERDADERO;1511900789;13;1511900789
Organic Search;20180328;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;6397457700223060000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6397457700223056647_1522274746;Not Socially Engaged;1;96;68;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1522274746;1;1522274746
Referral;20170822;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5342093851470280000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5342093851470283283_1503445677;Not Socially Engaged;1;96;66;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1503445677;7;1503445677
Affiliates;20180124;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7094476618461750000;Europe;Western Europe;France;Hauts-de-France;(not set);Lille;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;7094476618461750872_1516785203;Not Socially Engaged;1;96;66;;1;Data Share Promo;Partners;affiliate;(not provided);not available in demo dataset;FALSO;1516785203;1;1516785203
Organic Search;20171112;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;664733895795299000;Americas;Caribbean;Dominican Republic;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;codetel.net.do;not available in demo dataset;not available in demo dataset;not available in demo dataset;664733895795299461_1510539914;Not Socially Engaged;1;96;65;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1510539914;2;1510539914
Organic Search;20180109;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3449895668938740000;Americas;Northern America;United States;New York;New York NY;New York;not available in demo dataset;zscalertwo.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;3449895668938739969_1515507302;Not Socially Engaged;1;96;65;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1515507302;3;1515507302
Organic Search;20180323;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6222118632461340000;Americas;Northern America;United States;New York;New York NY;New York;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6222118632461335346_1521833574;Not Socially Engaged;1;96;65;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1521833574;1;1521833574
Referral;20180426;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3229832905952390000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;wideopenwest.com;not available in demo dataset;not available in demo dataset;not available in demo dataset;3229832905952384880_1524794555;Not Socially Engaged;1;96;64;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1524794555;6;1524794555
Organic Search;20171012;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;2676048116786220000;Americas;Northern America;United States;Georgia;Atlanta GA;Atlanta;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;2676048116786216848_1507840558;Not Socially Engaged;1;96;63;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1507840558;1;1507840558
Referral;20170814;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;243532687507051000;Asia;Eastern Asia;Japan;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;243532687507050764_1502720225;Not Socially Engaged;1;96;61;;0;(not set);qiita.com;referral;(not provided);not available in demo dataset;VERDADERO;1502720225;2;1502720225
Referral;20171113;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;814406716634151000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Santa Clara;not available in demo dataset;comcast.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;814406716634151401_1510629607;Not Socially Engaged;1;96;60;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1510629607;2;1510629607
Organic Search;20170828;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;8292041816020420000;Americas;Northern America;United States;Texas;San Antonio TX;San Antonio;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;8292041816020417937_1503946545;Not Socially Engaged;1;96;59;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1503946545;1;1503946545
Referral;20171204;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;8947852378903750000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;8947852378903754078_1512418823;Not Socially Engaged;1;96;58;;0;(not set);sites.google.com;referral;(not provided);not available in demo dataset;FALSO;1512418823;2;1512418823
Direct;20180130;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6010250598436090000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;verizon.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;6010250598436085923_1517330666;Not Socially Engaged;1;96;51;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1517330666;55;1517330666
Referral;20171017;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5694565953073000000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Santa Clara;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5694565953072995275_1508303319;Not Socially Engaged;1;96;51;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1508303319;3;1508303319
Display;20170804;Firefox;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;1957458976293880000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;comcastbusiness.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;1957458976293878100_1501871164;Not Socially Engaged;1;95;95;;0;(not set);dfa;cpm;(not provided);not available in demo dataset;VERDADERO;1501871164;335;1501871164
Organic Search;20171008;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;9663893414008300000;Asia;Southern Asia;India;Delhi;(not set);(not set);not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;9663893414008301924_1507473981;Not Socially Engaged;1;95;8;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1507473981;1;1507473981
Referral;20171128;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3938821990588250000;Asia;Eastern Asia;Taiwan;Taoyuan County;(not set);Zhongli District;not available in demo dataset;uch.edu.tw;not available in demo dataset;not available in demo dataset;not available in demo dataset;3938821990588249862_1511936089;Not Socially Engaged;1;95;76;;0;(not set);analytics.google.com;referral;(not provided);not available in demo dataset;VERDADERO;1511936089;3;1511936089
Referral;20171207;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;8480562427961710000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Sunnyvale;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;8480562427961706002_1512709505;Not Socially Engaged;1;95;74;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1512709505;2;1512709505
Organic Search;20171004;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;2236274332598990000;Americas;Northern America;Canada;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;uqat.ca;not available in demo dataset;not available in demo dataset;not available in demo dataset;2236274332598985319_1507157090;Not Socially Engaged;1;95;74;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1507157090;1;1507157090
Direct;20180319;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5893231375094370000;Asia;Eastern Asia;Taiwan;Taoyuan County;(not set);Taoyuan District;not available in demo dataset;hinet.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;5893231375094373308_1521522659;Not Socially Engaged;1;95;73;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1521522659;1;1521522659
Organic Search;20171220;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;3432657061599510000;Europe;Western Europe;Netherlands;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;3432657061599511308_1513771327;Not Socially Engaged;1;95;71;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1513771327;4;1513771327
Referral;20170805;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;8053050358711690000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;comcast.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;8053050358711689243_1501948176;Not Socially Engaged;1;95;69;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1501948176;2;1501948176
Direct;20180121;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;2615806213672050000;Americas;Northern America;Canada;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;2615806213672046110_1516600307;Not Socially Engaged;1;95;68;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1516600307;3;1516600307
Organic Search;20180208;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;1491184553431840000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;1491184553431841427_1518152104;Not Socially Engaged;1;95;67;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1518152104;2;1518152104
Organic Search;20180228;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7491920542186770000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;7491920542186769264_1519807548;Not Socially Engaged;1;95;64;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1519807548;1;1519807548
Referral;20171101;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3351257985660370000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;3351257985660372667_1509596771;Not Socially Engaged;1;95;63;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1509596771;6;1509596771
Organic Search;20171103;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;9398894173741760000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;intel.com;not available in demo dataset;not available in demo dataset;not available in demo dataset;9398894173741757298_1509733104;Not Socially Engaged;1;95;63;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1509733104;1;1509733104
Direct;20171026;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;7728556846531810000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Jose;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;7728556846531811078_1509077776;Not Socially Engaged;1;95;62;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1509077776;1;1509077776
Referral;20180117;Chrome;not available in demo dataset;not available in demo dataset;Linux;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;495439147467769000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Sunnyvale;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;0495439147467768502_1516243035;Not Socially Engaged;1;95;61;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1516243035;3;1516243035
Social;20171230;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;9752533288327900000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;cox.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;9752533288327896034_1514679970;Not Socially Engaged;1;95;60;;1;(not set);youtube.com;referral;(not provided);not available in demo dataset;FALSO;1514679970;1;1514679970
Referral;20171010;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6327025100437660000;Americas;Northern America;United States;New York;New York NY;New York;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6327025100437659576_1507649725;Not Socially Engaged;1;95;59;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1507649725;2;1507649725
Organic Search;20180328;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;4213918047818140000;Europe;Western Europe;Austria;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;telekom.at;not available in demo dataset;not available in demo dataset;not available in demo dataset;4213918047818138425_1522269887;Not Socially Engaged;1;95;58;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1522269887;2;1522269887
Referral;20171030;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3584798380751330000;Americas;Central America;Mexico;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;prod-infinitum.com.mx;not available in demo dataset;not available in demo dataset;not available in demo dataset;3584798380751325245_1509385227;Not Socially Engaged;1;95;56;;1;(not set);google.com;referral;(not provided);not available in demo dataset;FALSO;1509385227;1;1509385227
